Timestamp;test_speed_out[2];test_speed_out[3];test_current_out[2];test_current_out[3];WheelCurrentSend[2];WheelCurrentSend[3]
0;-500;-500;-1;-1;-500;-500
1000;-500;-500;-5;-1;-500;-500
2000;-500;-500;-5;-4;-500;-500
4000;-500;-500;-5;-4;-500;-500
5000;-500;-500;-7;-2;-500;-500
6000;-500;-500;-14;2;-500;-500
7000;-500;-500;-14;2;-500;-500
9000;-500;-500;-11;0;-500;-500
10000;-500;-500;-11;-1;-500;-500
11000;-500;-500;-4;-1;-500;-500
13000;-520;-520;-9;-1;-520;-520
14000;-520;-520;-7;5;-500;-500
15000;-500;-500;-7;5;-500;-500
17000;-500;-500;-6;6;-500;-500
18000;-500;-500;-6;6;-500;-500
19000;-500;-500;-4;3;-500;-500
20000;-500;-500;-2;3;-500;-500
22000;-500;-500;-2;3;-500;-500
23000;-500;-500;0;5;-500;-500
24000;-500;-500;0;6;-500;-500
26000;-500;-500;0;6;-500;-500
27000;-500;-500;-4;3;-500;-500
28000;-500;-500;-5;2;-500;-500
30000;-500;-500;-5;2;-500;-500
31000;-500;-500;-4;2;-500;-500
32000;-500;-500;-4;1;-500;-500
33000;-500;-500;-1;1;-500;-500
35000;-500;-500;1;2;-500;-500
36000;-500;-500;1;2;-500;-500
37000;-500;-500;-2;13;-500;-500
39000;-500;-500;-5;16;-500;-500
40000;-500;-500;-5;16;-500;-500
41000;-500;-500;-2;8;-500;-500
43000;-500;-500;-1;6;-500;-500
44000;-500;-500;-1;6;-500;-500
45000;-500;-500;-2;5;-500;-500
46000;-500;-500;-2;0;-500;-500
48000;-500;-500;-2;0;-500;-500
49000;-520;-520;-2;-5;-520;-520
50000;-500;-500;3;0;-500;-500
52000;-500;-500;3;0;-500;-500
53000;-500;-500;6;3;-500;-500
54000;-500;-500;8;6;-500;-500
56000;-500;-500;8;6;-500;-500
57000;-500;-500;6;5;-500;-500
58000;-500;-500;6;5;-500;-500
59000;-500;-500;-2;0;-500;-500
61000;-500;-500;-7;-1;-500;-500
62000;-500;-500;-7;2;-500;-500
63000;-500;-500;-8;2;-500;-500
65000;-500;-500;-4;4;-500;-500
66000;-500;-500;-4;4;-500;-500
67000;-500;-500;3;1;-500;-500
69000;-500;-500;7;-4;-500;-500
70000;-500;-500;7;-4;-500;-500
71000;-500;-500;8;-3;-500;-500
72000;-500;-500;9;-1;-500;-500
74000;-500;-500;9;-1;-500;-500
75000;-500;-500;8;0;-500;-500
76000;-500;-500;5;0;-500;-500
78000;-500;-500;5;0;-500;-500
79000;-500;-500;2;-4;-500;-500
